FYBT-A1,FYBT-B1
FYBT-A1,FYBT-C1
FYBT-A1,FYBT-D1
FYBT-B1,FYBT-A1
FYBT-B1,FYBT-C1
FYBT-B1,FYBT-D1
FYBT-C1,FYBT-A1
FYBT-C1,FYBT-B1
FYBT-C1,FYBT-D1
FYBT-D1,FYBT-A1
FYBT-D1,FYBT-B1
FYBT-D1,FYBT-C1
FYBT-A2,FYBT-B2
FYBT-A2,FYBT-C2
FYBT-A2,FYBT-D2
FYBT-B2,FYBT-A2
FYBT-B2,FYBT-C2
FYBT-B2,FYBT-D2
FYBT-C2,FYBT-A2
FYBT-C2,FYBT-B2
FYBT-C2,FYBT-D2
FYBT-D2,FYBT-A2
FYBT-D2,FYBT-B2
FYBT-D2,FYBT-C2
FYBT-A3,FYBT-B3
FYBT-A3,FYBT-C3
FYBT-A3,FYBT-D3
FYBT-B3,FYBT-A3
FYBT-B3,FYBT-C3
FYBT-B3,FYBT-D3
FYBT-C3,FYBT-A3
FYBT-C3,FYBT-B3
FYBT-C3,FYBT-D3
FYBT-D3,FYBT-A3
FYBT-D3,FYBT-B3
FYBT-D3,FYBT-C3
FYBT-A4,FYBT-B4
FYBT-A4,FYBT-C4
FYBT-A4,FYBT-D4
FYBT-B4,FYBT-A4
FYBT-B4,FYBT-C4
FYBT-B4,FYBT-D4
FYBT-C4,FYBT-A4
FYBT-C4,FYBT-B4
FYBT-C4,FYBT-D4
FYBT-D4,FYBT-A4
FYBT-D4,FYBT-B4
FYBT-D4,FYBT-C4
FYBT-A5,FYBT-B5
FYBT-A5,FYBT-C5
FYBT-A5,FYBT-D5
FYBT-B5,FYBT-A5
FYBT-B5,FYBT-C5
FYBT-B5,FYBT-D5
FYBT-C5,FYBT-A5
FYBT-C5,FYBT-B5
FYBT-C5,FYBT-D5
FYBT-D5,FYBT-A5
FYBT-D5,FYBT-B5
FYBT-D5,FYBT-C5
SYBT-CE-S1,SYBT-CE-S2
SYBT-CE-S1,SYBT-CE-S3
SYBT-CE-S1,SYBT-CE-S4
SYBT-CE-S1,SYBT-CE-DSY
SYBT-CE-S2,SYBT-CE-S1
SYBT-CE-S2,SYBT-CE-S3
SYBT-CE-S2,SYBT-CE-S4
SYBT-CE-S2,SYBT-CE-DSY
SYBT-CE-S3,SYBT-CE-S1
SYBT-CE-S3,SYBT-CE-S2
SYBT-CE-S3,SYBT-CE-S4
SYBT-CE-S3,SYBT-CE-DSY
SYBT-CE-S4,SYBT-CE-S1
SYBT-CE-S4,SYBT-CE-S2
SYBT-CE-S4,SYBT-CE-S3
SYBT-CE-S4,SYBT-CE-DSY
SYBT-CE-DSY,SYBT-CE-S1
SYBT-CE-DSY,SYBT-CE-S2
SYBT-CE-DSY,SYBT-CE-S3
SYBT-CE-DSY,SYBT-CE-S4
SYBT-IT-S1,SYBT-IT-S2
SYBT-IT-S1,SYBT-IT-S3
SYBT-IT-S1,SYBT-IT-S4
SYBT-IT-S1,SYBT-IT-DSY
SYBT-IT-S2,SYBT-IT-S1
SYBT-IT-S2,SYBT-IT-S3
SYBT-IT-S2,SYBT-IT-S4
SYBT-IT-S2,SYBT-IT-DSY
SYBT-IT-S3,SYBT-IT-S1
SYBT-IT-S3,SYBT-IT-S2
SYBT-IT-S3,SYBT-IT-S4
SYBT-IT-S3,SYBT-IT-DSY
SYBT-IT-S4,SYBT-IT-S1
SYBT-IT-S4,SYBT-IT-S2
SYBT-IT-S4,SYBT-IT-S3
SYBT-IT-S4,SYBT-IT-DSY
SYBT-IT-DSY,SYBT-IT-S1
SYBT-IT-DSY,SYBT-IT-S2
SYBT-IT-DSY,SYBT-IT-S3
SYBT-IT-DSY,SYBT-IT-S4
TYBT-CE-T1,TYBT-CE-T2
TYBT-CE-T1,TYBT-CE-T3
TYBT-CE-T1,TYBT-CE-T4
TYBT-CE-T1,TYBT-CE-T5
TYBT-CE-T1,TYBT-IT-T1
TYBT-CE-T2,TYBT-CE-T1
TYBT-CE-T2,TYBT-CE-T3
TYBT-CE-T2,TYBT-CE-T4
TYBT-CE-T2,TYBT-CE-T5
TYBT-CE-T2,TYBT-IT-T1
TYBT-CE-T3,TYBT-CE-T1
TYBT-CE-T3,TYBT-CE-T2
TYBT-CE-T3,TYBT-CE-T4
TYBT-CE-T3,TYBT-CE-T5
TYBT-CE-T3,TYBT-IT-T1
TYBT-CE-T4,TYBT-CE-T1
TYBT-CE-T4,TYBT-CE-T2
TYBT-CE-T4,TYBT-CE-T3
TYBT-CE-T4,TYBT-CE-T5
TYBT-CE-T4,TYBT-IT-T1
TYBT-CE-T5,TYBT-CE-T1
TYBT-CE-T5,TYBT-CE-T2
TYBT-CE-T5,TYBT-CE-T3
TYBT-CE-T5,TYBT-CE-T4
TYBT-CE-T5,TYBT-IT-T1
TYBT-IT-T1,TYBT-CE-T1
TYBT-IT-T1,TYBT-CE-T2
TYBT-IT-T1,TYBT-CE-T3
TYBT-IT-T1,TYBT-CE-T4
TYBT-IT-T1,TYBT-CE-T5
