FM-II,SYBT-CE-DSY,Maths1,FM-II,SYBT-IT-DSY,Maths1
CBD-Lab,TYBT-CE-CBD1,Jibi,CBD-Lab,TYBT-IT-CBD1,Jibi
CPES-Lab,TYBT-CE-CPES1,Sheetal,CPES-Lab,TYBT-IT-CPES1,Sheetal
FOSS-Lab,TYBT-CE-FOSS1,Abhijit,FOSS-Lab,TYBT-IT-FOSS1,Abhijit
